date,time,username,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2017-6-30,13:51:15:847724020,viktor,0,0.2650,-0.7814,-0.0076,-0.0590,0.0325,-2.9296
2017-6-30,13:51:16:246945023,viktor,0,0.6722,-1.1233,-0.2344,-0.1757,0.0208,0.1269
2017-6-30,13:51:16:446233987,viktor,0,0.4399,-1.4817,0.0722,-0.9105,0.1063,-2.4367
2017-6-30,13:51:16:646117985,viktor,0,0.3031,-0.8125,0.0888,0.1199,-0.4099,-2.9336
2017-6-30,13:51:16:846738994,viktor,0,0.4814,-0.9312,0.0359,0.0527,0.4379,2.4922
2017-6-30,13:51:17:46806991,viktor,0,0.4044,-0.8056,-0.0956,0.6925,-0.2179,2.5750
2017-6-30,13:51:17:246767997,viktor,0,0.6320,-1.1290,-0.2982,0.0548,-0.1896,0.4473
2017-6-30,13:51:17:446569025,viktor,0,0.6670,-1.3503,-0.0880,-0.8094,-0.7938,-1.4348
2017-6-30,13:51:17:646152973,viktor,0,0.2704,-0.8633,0.1293,-0.4173,-0.1904,-2.6759
2017-6-30,13:51:17:846502006,viktor,0,0.4690,-1.0740,0.0219,0.0388,1.1491,1.6982
2017-6-30,13:51:18:46802997,viktor,0,0.2985,-0.7172,-0.0693,0.2326,0.4321,2.1009
2017-6-30,13:51:18:246815025,viktor,0,0.6364,-1.0452,-0.2400,0.1163,-0.1033,1.0822
2017-6-30,13:51:18:446740984,viktor,0,0.5683,-1.2486,-0.1310,-0.4556,-0.5281,-1.2407
2017-6-30,13:51:18:646052002,viktor,0,0.2911,-0.7748,0.0163,-0.2345,-0.0148,-2.5884
2017-6-30,13:51:18:846947014,viktor,0,0.4477,-1.1574,-0.0172,-0.1081,0.4016,0.6700
2017-6-30,13:51:19:46791970,viktor,0,0.2424,-0.7421,-0.0549,0.5714,-0.0506,2.1356
2017-6-30,13:51:19:247058987,viktor,0,0.6028,-1.0966,-0.3046,0.1674,-0.5065,1.0156
2017-6-30,13:51:19:446731984,viktor,0,0.4852,-1.3397,-0.0763,-0.8579,0.0096,-1.4015
2017-6-30,13:51:19:645977020,viktor,0,0.3017,-0.8366,0.0718,-0.2701,-0.4678,-2.7010
2017-6-30,13:51:19:847127020,viktor,0,0.4082,-1.0859,-0.0375,0.0848,-0.1050,0.2870
2017-6-30,13:51:20:46733021,viktor,0,0.3720,-0.8190,-0.2379,0.3006,0.1531,2.6873
2017-6-30,13:51:20:246771991,viktor,0,0.6363,-0.7532,-0.2972,-0.0726,-0.1945,1.4530
2017-6-30,13:51:20:446739971,viktor,0,0.7090,-1.1893,-0.2303,-0.1418,-1.4683,-1.2643
2017-6-30,13:51:20:646055996,viktor,0,0.3275,-0.7846,-0.0344,0.0436,-0.3678,-2.9826
2017-6-30,13:51:20:846733987,viktor,0,0.2957,-0.9224,-0.0462,0.1208,0.0853,-0.2949
2017-6-30,13:51:21:46055972,viktor,0,0.5468,-1.2653,-0.2362,0.1492,0.5586,3.5731
2017-6-30,13:51:21:246074974,viktor,0,0.5656,-0.8049,-0.1815,0.4349,-0.0852,1.4384
2017-6-30,13:51:21:446759998,viktor,0,0.7335,-1.3042,-0.2887,-0.4351,0.0151,-1.1675
2017-6-30,13:51:21:645960986,viktor,0,0.2843,-0.9344,-0.0459,-0.3433,-0.1396,-3.1056
2017-6-30,13:51:21:846737980,viktor,0,0.2854,-0.9109,0.0746,0.0790,0.0688,-1.5500
2017-6-30,13:51:22:46733021,viktor,0,0.5291,-1.2390,-0.1573,0.3893,-0.2878,3.0852
2017-6-30,13:51:22:247101008,viktor,0,0.5319,-0.7638,-0.1285,0.3973,-0.0524,2.0416
2017-6-30,13:51:22:446877002,viktor,0,0.5509,-1.4469,-0.1684,-0.1590,0.5247,-0.2822
2017-6-30,13:51:22:646080970,viktor,0,0.4053,-0.7735,-0.0511,-0.0841,-0.5589,-2.2833
2017-6-30,13:51:22:846728026,viktor,0,0.2938,-0.9424,0.0928,-0.5436,0.4212,-1.1527
2017-6-30,13:51:23:46966016,viktor,0,0.5140,-1.0203,-0.2959,0.7219,-0.1907,1.6697
2017-6-30,13:51:23:246728003,viktor,0,0.4652,-0.6219,-0.1181,0.5532,0.4083,1.6534
2017-6-30,13:51:23:446627974,viktor,0,0.5604,-1.2123,-0.2765,-0.3950,0.0046,0.5489
2017-6-30,13:51:23:646005988,viktor,0,0.5762,-1.1338,-0.0781,-0.2823,-1.0751,-1.6040
2017-6-30,13:51:23:846715986,viktor,0,0.2365,-0.8592,0.1061,-0.3530,0.3114,-2.2969
2017-6-30,13:51:24:46934008,viktor,0,0.4459,-1.1958,0.0135,0.3472,0.3493,1.6180
2017-6-30,13:51:24:246806979,viktor,0,0.3306,-0.7377,-0.0852,0.5862,-0.3914,2.0878
2017-6-30,13:51:24:446799993,viktor,0,0.6213,-1.1723,-0.2599,0.0188,-0.2731,0.7516
2017-6-30,13:51:24:645982027,viktor,0,0.4872,-1.1931,-0.0351,-0.5722,-0.5391,-1.4604
2017-6-30,13:51:24:846868991,viktor,0,0.2804,-0.8719,0.0750,-0.3699,0.1381,-2.3609
2017-6-30,13:51:25:46871006,viktor,0,0.4056,-1.2032,0.0102,-0.2242,0.4722,0.8533
2017-6-30,13:51:25:246993005,viktor,0,0.3337,-0.6742,-0.0606,-0.6249,1.6331,2.0391
2017-6-30,13:51:25:446923017,viktor,0,0.6582,-1.0350,-0.1183,-0.6174,0.9292,1.6138
2017-6-30,13:51:25:645981013,viktor,0,0.7001,-1.1561,-0.1305,0.1899,-0.0869,-0.8852
2017-6-30,13:51:25:846917986,viktor,0,0.3547,-0.8853,-0.0107,0.3715,-0.9418,-2.7084
2017-6-30,13:51:26:47057986,viktor,0,0.3895,-0.9959,0.0459,-0.4890,0.6190,0.5679
2017-6-30,13:51:26:246820986,viktor,0,0.3238,-0.8770,-0.0594,0.3748,-0.8984,2.5428
2017-6-30,13:51:26:446904003,viktor,0,0.6620,-0.7942,-0.2785,0.2064,-0.3973,1.3190
2017-6-30,13:51:34:779731988,viktor,0,0.6929,-1.1423,-0.1246,-0.2950,-0.7894,-1.0990
2017-6-30,13:51:34:979173004,viktor,0,0.2491,-0.8098,-0.0453,-0.2112,-0.0623,-2.8868
2017-6-30,13:51:35:179674983,viktor,0,0.3197,-0.8978,0.0555,-0.1366,0.1722,-0.8806
2017-6-30,13:51:35:379680991,viktor,0,0.5569,-1.4246,-0.1935,0.3919,-1.1598,3.5336
2017-6-30,13:51:35:578998982,viktor,0,0.3874,-0.6626,-0.1261,0.5992,0.3975,0.8820
2017-6-30,13:51:35:779996991,viktor,0,0.5634,-1.4413,-0.2124,-0.6606,0.8258,-0.2538
2017-6-30,13:51:35:979737997,viktor,0,0.3344,-0.9437,-0.0687,-0.6882,-0.1209,-2.5220
2017-6-30,13:51:36:179668009,viktor,0,0.2797,-0.8473,0.0257,-0.2574,-0.2347,-1.8959
2017-6-30,13:51:36:379674017,viktor,0,0.5678,-0.8802,-0.2326,0.5755,0.2310,2.8897
2017-6-30,13:51:36:579127013,viktor,0,0.5353,-0.8067,-0.1952,0.1344,1.0349,2.0420
2017-6-30,13:51:36:779670000,viktor,0,0.5940,-1.0874,-0.2786,-0.1817,0.1701,-0.0454
2017-6-30,13:51:36:979744970,viktor,0,0.6107,-1.3625,-0.0638,-0.5926,-0.6533,-1.7893
2017-6-30,13:51:37:179669976,viktor,0,0.3213,-0.8954,0.0174,0.0490,-0.2087,-2.8416
2017-6-30,13:51:37:379670023,viktor,0,0.4545,-1.0454,0.0062,-0.0272,0.8734,2.7890
2017-6-30,13:51:37:579086005,viktor,0,0.2549,-0.8386,-0.0392,0.2216,0.6141,1.7357
2017-6-30,13:51:37:779861986,viktor,0,0.6122,-0.9528,-0.2697,0.1331,-0.5244,0.6437
2017-6-30,13:51:37:979722976,viktor,0,0.6089,-1.2991,-0.1467,-0.3103,-0.7567,-1.5889
2017-6-30,13:51:38:179884016,viktor,0,0.3163,-0.8134,0.0059,-0.1059,-0.3358,-2.5507
2017-6-30,13:51:38:379767000,viktor,0,0.4213,-1.0800,-0.0060,-0.3115,0.7397,1.1321
2017-6-30,13:51:38:578894972,viktor,0,0.2652,-0.7821,-0.0957,0.4252,-0.3947,2.2478
2017-6-30,13:51:38:779749989,viktor,0,0.5738,-1.0088,-0.2986,0.3680,0.2680,0.6341
2017-6-30,13:51:38:979653000,viktor,0,0.5505,-1.2154,-0.1757,-0.6000,0.4061,-1.1604
2017-6-30,13:51:39:179708003,viktor,0,0.2887,-0.7713,0.0014,-0.3777,-0.2716,-2.4449
2017-6-30,13:51:39:379805982,viktor,0,0.3945,-0.9849,0.0078,-0.2744,0.6706,0.2757
2017-6-30,13:51:39:578935027,viktor,0,0.5972,-1.1432,-0.2235,0.4744,-1.1092,2.7531
2017-6-30,13:51:39:779660999,viktor,0,0.4722,-0.7720,-0.2505,0.2067,0.4913,0.7946
2017-6-30,13:51:39:979758024,viktor,0,0.5853,-1.2346,-0.1981,-0.5655,0.1169,-0.8977
2017-6-30,13:51:40:179729998,viktor,0,0.2757,-0.8391,-0.0072,-0.3355,-0.3098,-2.6540
2017-6-30,13:51:40:379813015,viktor,0,0.3073,-0.9275,0.0401,-0.1457,0.1557,-0.7875
2017-6-30,13:51:40:578963994,viktor,0,0.5658,-1.1213,-0.2999,0.3816,-0.7291,3.1841
2017-6-30,13:51:40:779711008,viktor,0,0.4005,-0.7692,-0.1453,0.6868,-0.1800,1.0397
2017-6-30,13:51:40:979669988,viktor,0,0.5844,-1.4608,-0.2223,-0.6575,0.5828,-0.4737
2017-6-30,13:51:41:179695010,viktor,0,0.2566,-0.8068,-0.0420,-0.7274,-0.0563,-2.0685
2017-6-30,13:51:41:379640996,viktor,0,0.3040,-1.0526,0.0464,-0.4294,0.2014,-1.4583
2017-6-30,13:51:41:578885018,viktor,0,0.4465,-1.0840,-0.1606,0.4681,0.3918,2.2522
2017-6-30,13:51:41:779720008,viktor,0,0.3939,-0.6838,-0.1126,0.5759,-0.0559,1.4791
2017-6-30,13:51:41:979721009,viktor,0,0.5429,-1.1746,-0.2511,-0.1469,0.0960,0.1659
2017-6-30,13:51:42:179032981,viktor,0,0.3388,-1.0269,-0.0469,-0.6239,0.1507,-2.2914
2017-6-30,13:51:42:379993975,viktor,0,0.3130,-0.8987,0.0300,-0.1390,-0.3489,-2.0221
2017-6-30,13:51:42:579164981,viktor,0,0.4655,-0.9433,-0.1292,0.0525,0.8692,2.6627
2017-6-30,13:51:42:779334008,viktor,0,0.3586,-0.6902,-0.1185,0.7068,0.1210,1.6036
2017-6-30,13:51:42:979740023,viktor,0,0.5211,-1.1707,-0.2329,-0.1162,0.2544,0.1954
2017-6-30,13:51:43:179750025,viktor,0,0.2969,-1.1104,-0.0124,-0.7790,-1.1317,-1.6004
2017-6-30,13:51:43:379786014,viktor,0,0.3363,-0.8360,0.0099,-0.0867,-0.3271,-2.8469
2017-6-30,13:51:43:579064011,viktor,0,0.3964,-0.9407,0.0009,0.1145,1.2034,2.4547
2017-6-30,13:51:43:779779016,viktor,0,0.2734,-0.7188,-0.0972,0.4533,0.7148,1.7676
2017-6-30,13:51:43:979735970,viktor,0,0.6459,-1.0737,-0.2870,0.0272,-0.3601,1.0471
2017-6-30,13:51:44:179670989,viktor,0,0.5694,-1.2458,-0.1208,-0.4814,-0.8431,-1.8555
2017-6-30,13:51:44:380482971,viktor,0,0.3199,-0.8176,0.0217,-0.1003,-0.4282,-2.9279
2017-6-30,13:51:44:579086005,viktor,0,0.4304,-1.0449,0.0086,-0.2193,0.5762,1.3037
2017-6-30,13:51:44:779658973,viktor,0,0.2451,-0.7513,-0.0711,0.4032,-0.0894,2.3071
2017-6-30,13:51:44:978751003,viktor,0,0.6190,-1.0499,-0.2608,0.2130,0.0767,1.1665
2017-6-30,13:51:45:179660022,viktor,0,0.5926,-1.2836,-0.1250,-0.4594,-0.5626,-1.5641
2017-6-30,13:51:45:380167007,viktor,0,0.3374,-0.8574,0.0220,-0.0574,-0.1738,-3.1476
2017-6-30,13:51:54:613249003,viktor,0,0.3904,-1.0966,0.0865,-0.2943,1.0793,1.1683
2017-6-30,13:51:54:852572977,viktor,0,0.4515,-1.1358,0.0536,-0.1098,0.7647,1.6656
2017-6-30,13:51:55:13251006,viktor,0,0.5460,-1.3575,-0.1702,0.0282,-0.6770,3.3690
